,id,type_id,sub_type_id,fixture_id,player_id,related_player_id,period_id,participant_id,addition,minute,sort_order,Unnamed: 0
1383,88033714,10,,11867458,5141.0,,3370732,13,,85,1,1383
1416,88033225,10,,11867514,978883.0,,3370844,65,,27,1,1416
1418,88033227,10,,11867514,5071.0,,3370844,65,,42,1,1418
1511,88033845,10,,11867442,581086.0,,3370700,33,,84,1,1511
1514,88033771,10,,11867452,33793.0,,3370719,33,,31,1,1514
1516,88033775,10,,11867452,7958.0,,3370720,33,,75,1,1516
1521,88033665,10,,11867464,581086.0,,3370744,33,,48,1,1521
1522,88033668,10,,11867464,1494663.0,,3370744,33,,69,1,1522
1531,88033503,10,,11867482,1389.0,,3370781,8,Goal Confirmed,78,1,1531
1534,88033372,10,,11867495,159917.0,,3370806,29,Goal Confirmed,31,1,1534
1539,88033382,10,,11867495,7958.0,,3370807,33,,78,1,1539
1541,88033302,10,,11867502,1488.0,,3370821,42,Goal Disallowed,50,1,1541
1643,88033873,10,,11867440,53.0,,3370695,13,,5,1,1643
1645,88033881,10,,11867440,5141.0,,3370696,13,Goal Disallowed,78,1,1645
1647,88033797,10,,11867455,33792.0,,3370726,1,,90,1,1647
1651,88033714,10,,11867458,5141.0,,3370732,13,,85,1,1651
1657,88033591,10,,11867474,95368.0,,3370764,13,,36,1,1657
1658,88033592,10,,11867474,4764.0,,3370764,25,,40,1,1658
1659,88033598,10,,11867474,,,3370765,13,,59,1,1659
1662,88033448,10,,11867486,5141.0,,3370788,13,Goal Confirmed,2,1,1662
1669,88033349,10,,11867499,1706.0,,3370814,13,,41,1,1669
1675,88033360,10,,11867499,5141.0,,3370815,13,Goal Disallowed,90,1,1675
1752,86464539,10,,11984662,,,3561257,9,Goal Confirmed,43,1,1752
1753,86464541,10,,11984662,982.0,,3561258,9,,59,1,1753
1760,88033912,10,,11867437,971.0,,3370689,9,Goal Confirmed,19,1,1760
1763,88033927,10,,11867437,62879.0,,3370690,15,,90,1,1763
1765,88033751,10,,11867450,1108.0,,3370715,51,,17,1,1765
1768,88033756,10,,11867450,160956.0,,3370716,9,,72,1,1768
1778,88012138,10,,11997504,5329.0,,3576479,9,Goal Confirmed,73,1,1778
1783,88014287,10,,11989932,,,3567416,9,,84,1,1783
1787,88033565,10,,11867473,802.0,,3370762,9,,13,1,1787
1789,88033567,10,,11867473,,,3370762,9,,39,1,1789
1790,88033569,10,,11867473,802.0,,3370762,9,,41,1,1790
1797,88033388,10,,11867490,4842.0,,3370797,9,,61,1,1797
1798,88033392,10,,11867490,5329.0,,3370797,9,Goal Confirmed,81,1,1798
1809,88033212,10,,11867512,,,3370841,9,,48,1,1809
1889,88033818,10,,11867443,870.0,,3370702,1,Goal Disallowed,90,1,1889
1890,88033797,10,,11867455,33792.0,,3370726,1,,90,1,1890
1893,88033695,10,,11867459,25499.0,,3370734,1,,49,1,1893
1899,88012057,10,,11997502,1922.0,,3576475,1,,90,1,1899
1901,88033895,10,,11867405,1472.0,,3370625,8,,34,1,1901
1904,88033587,10,,11867475,,,3370767,78,,79,1,1904
1911,88033285,10,,11867505,1261.0,,3370827,1,,64,1,1911
1915,88033293,10,,11867506,95334.0,,3370829,19,,67,1,1915
1916,88033296,10,,11867506,95334.0,,3370829,19,,78,1,1916
1918,85961252,10,,11867229,1448.0,,3370272,27,,17,1,1918
1919,85961253,10,,11867229,3596.0,,3370272,65,,30,1,1919
2002,86464604,10,,11984657,722.0,,3561247,65,Goal Disallowed,45,1,2002
2004,88033857,10,,11867441,61654.0,,3370697,42,Goal Confirmed,15,1,2004
2006,88033860,10,,11867441,1182.0,,3370697,42,,32,1,2006
2007,88033862,10,,11867441,722.0,,3370698,65,,63,1,2007
2008,88033864,10,,11867441,1488.0,,3370698,42,,67,1,2008
2011,88033871,10,,11867441,612.0,,3370698,42,Goal Disallowed,90,1,2011
2013,88033732,10,,11867453,496775.0,,3370722,29,Goal Confirmed,54,1,2013
2015,88033734,10,,11867453,186426.0,,3370722,29,,63,1,2015
2016,88033739,10,,11867453,160217.0,,3370722,29,Goal Confirmed,77,1,2016
2022,88011242,10,,12002853,4313.0,,3580869,6,,29,1,2022
2023,88011246,10,,12002853,4313.0,,3580870,6,Goal Confirmed,59,1,2023
2025,88033550,10,,11867470,323.0,,3370756,8,,31,1,2025
2026,88033552,10,,11867470,4125.0,,3370757,8,,55,1,2026
2034,88007545,10,,12014038,4313.0,,3592362,6,,87,1,2034
2038,88033478,10,,11867484,1393.0,,3370785,65,,82,1,2038
2046,88033285,10,,11867505,1261.0,,3370827,1,,64,1,2046
2048,88033225,10,,11867514,978883.0,,3370844,65,,27,1,2048
2050,88033227,10,,11867514,5071.0,,3370844,65,,42,1,2050
2145,86464646,10,,11984654,32786894.0,,3561241,63,,24,1,2145
2149,88033903,10,,11867438,2361.0,,3370691,27,,19,1,2149
