,id,country_id,city_id,name,address,zipcode,latitude,longitude,capacity,image_path,city_name,surface,national_team
138,56,32.0,66890.0,Estadio El Sadar,Carretera El Sadar,,42.796667,-1.636944,23576.0,https://cdn.sportmonks.com/images/soccer/venues/24/56.png,Pamplona,grass,False
139,68,32.0,82287.0,Estadio Benito Villamarín,Avenida de Heliópolis,,37.356403,-5.981611,60721.0,https://cdn.sportmonks.com/images/soccer/venues/4/68.png,Sevilla,grass,False
140,133,32.0,79248.0,Anoeta Stadium,Paseo de Anoeta 1,,43.301389,-1.973611,39500.0,https://cdn.sportmonks.com/images/soccer/venues/5/133.png,San Sebastián,grass,False
141,177,32.0,82287.0,Estadio Ramón Sánchez Pizjuán,Avenida de Eduardo Dato,,37.384,-5.9705,42714.0,https://cdn.sportmonks.com/images/soccer/venues/17/177.png,Sevilla,grass,False
142,1128,32.0,78766.0,Estadio Iberoamericano 2010,Calle de los Carpinteros,,36.4643934,-6.198203,8000.0,,San Fernando,grass,False
143,1716,32.0,48633.0,Estadio de Gran Canaria,Avenida Pío XII 29,,28.1288694,-15.4349015,32400.0,https://cdn.sportmonks.com/images/soccer/venues/20/1716.png,Las Palmas de Gran Canaria,grass,False
144,1747,32.0,95601.0,Estadio de Mendizorroza,"Paseo de Cervantes , s/n, 01007 Vitoria , Álava",,42.837111,-2.688044,19840.0,https://cdn.sportmonks.com/images/soccer/venues/19/1747.png,Gasteiz,grass,False
145,2020,32.0,53253.0,Estadio Santiago Bernabéu,"Avenida de Concha Espina 1, Chamartín",,40.453056,-3.688333,84744.0,https://cdn.sportmonks.com/images/soccer/venues/4/2020.png,Madrid,grass,False
146,2028,32.0,95196.0,Estadio de la Cerámica,Plaza Labrador,,39.944167,-0.103611,23500.0,https://cdn.sportmonks.com/images/soccer/venues/12/2028.png,Villarreal,grass,False
147,4473,32.0,13958.0,Estadio Nuevo Mirandilla,Plaza de Madrid,,36.5297438,-6.2928976,20724.0,https://cdn.sportmonks.com/images/soccer/venues/25/4473.png,Cádiz,grass,False
148,9162,32.0,9360.0,San Mamés Barria,Rafael Moreno Pitxitxi Kalea,,43.2643,-2.9504,53331.0,https://cdn.sportmonks.com/images/soccer/venues/10/9162.png,Bilbao,grass,False
149,9180,32.0,1937.0,Estadio de los Juegos Mediterráneos,,,36.840039,-2.435457,15000.0,,Almeria,,False
150,9199,,,Instalaciones Deportivas de Tajonar,Paraje Beroa,,42.796677,-1.637141,4000.0,,Tajonar,grass,False
151,9237,32.0,33291.0,Estadio Nuevo Los Cármenes,Calle Pintor Manuel Maldonado,,37.152967,-3.595736,22524.0,https://cdn.sportmonks.com/images/soccer/venues/21/9237.png,Granada,grass,False
152,9239,32.0,94886.0,Estadio de Balaídos,Avenida de Balaídos,,42.211861,-8.740328,31800.0,https://cdn.sportmonks.com/images/soccer/venues/23/9239.png,Vigo,grass,False
153,9240,32.0,93634.0,Estadio de Mestalla,Avenida de Suecia,,39.474722,-0.358333,49430.0,https://cdn.sportmonks.com/images/soccer/venues/24/9240.png,Valencia,grass,False
154,9320,,,Estadio Santa María de Lezama,Calle Garaioltza Auzoa 147,,43.263476,-2.948150,53000.0,https://cdn.sportmonks.com/images/soccer/venues/8/9320.png,Lezama,grass,False
155,9345,32.0,32079.0,Estadi Municipal de Montilivi,Avenida Montlivi 141,,41.961389,2.828611,14286.0,https://cdn.sportmonks.com/images/soccer/venues/1/9345.png,Girona,grass,False
156,9351,32.0,31791.0,Coliseum Alfonso Pérez,Avenida de Teresa de Calcuta,,40.325556,-3.714722,17393.0,https://cdn.sportmonks.com/images/soccer/venues/7/9351.png,Getafe,grass,False
157,140808,32.0,53252.0,Estadio Civitas Metropolitano,Madrid,,40.436111,-3.599444,70460.0,https://cdn.sportmonks.com/images/core/venues/8/140808.png,Madrid,grass,False
158,300228,32.0,6590.0,Estadi Olímpic Lluís Companys,"Passeig Olímpic, 17-19",08038 Barcelona,41.364722,2.155556,54367.0,https://cdn.sportmonks.com/images/core/venues/4/300228.png,Barcelona,grass,False
159,304396,32.0,53253.0,Estadio de Vallecas,Calle Payaso Fofó,,4.7333686,-74.2629794,14708.0,https://cdn.sportmonks.com/images/soccer/venues/12/304396.png,Madrid,grass,False
160,340122,32.0,94886.0,Abanca-Balaídos (Vigo),,,42.211852,-8.739721,31800.0,,Vigo,,False
161,340125,,,Estadio El Sadar (Pamplona (Iruñea)),,,42.81706,-1.64577,,,Iruñea,,False
162,1573,227.0,46109.0,Stadion FK Krasnodar,ul. Vostochno-Kruglikovskaya 126,,45.0352718,38.9764814,31654.0,,Krasnodar,grass,False
163,1609,,,Otkrytiye Arena,"Volokolamskoye shosse, Tushino",,55.817861,37.440250,45360.0,https://cdn.sportmonks.com/images/soccer/venues/9/1609.jpg,Moskva,grass,False
164,2012,227.0,65478.0,Stadion Gazovik,Tsvetnoy bulvar' 31,,51.767452,55.097118,7520.0,https://cdn.sportmonks.com/images/soccer/venues/28/2012.png,Orenburg,artificial turf,False
165,2097,,,Akhmat Arena,"Zhukavskogo per. 9, Staraya Sunzha",,43.323176,45.745252,30597.0,https://cdn.sportmonks.com/images/soccer/venues/17/2097.png,Groznyi,grass,False
166,5980,227.0,95853.0,Central'nyi Stadion Profsoyuzov,ul. Studencheskaya 17,,51.6605982,39.2005858,32750.0,https://cdn.sportmonks.com/images/soccer/venues/28/5980.png,Voronezh,grass,False
167,8869,227.0,43392.0,Ak Bars Arena,Prospekt Husaina Yamasheva 115a,,55.796944,49.098889,45105.0,https://cdn.sportmonks.com/images/soccer/venues/5/8869.jpg,Kazan',grass,False
168,8895,,,Saint Petersburg Stadium,2-g Petrovsky Island,,59.972953,30.220533,24000.0,https://cdn.sportmonks.com/images/soccer/venues/31/8895.jpg,St. Petersburg,grass,False
169,14779,,,Sport Baza Bazhoviya,,,56.832500,60.573611,35061.0,,Sysert,,False
170,20259,227.0,84433.0,Olimpiyskiy Stadion Fisht,Olimpiyskiy prospekt,,43.402267,39.956111,47659.0,https://cdn.sportmonks.com/images/soccer/venues/3/20259.jpg,Sochi,grass,False
171,73093,,,VEB Arena,3-ya Peschanaya ul.,,55.791389,37.516111,30457.0,,Moskva,grass,False
172,177923,,,RZD Arena,ul. Bol'shaya Cherkizovskaya 125,,54.698056,20.533889,18636.0,https://cdn.sportmonks.com/images/soccer/venues/3/177923.png,Moskva,grass,False
173,186516,227.0,62764.0,Stade Municipal 1,ul. Dolzhanskaya,,56.309419,43.928906,17856.0,,Nizhniy Novgorod,grass,False
174,219226,227.0,78528.0,Samara Arena,ul. Dal'nyaya,,,,44918.0,https://cdn.sportmonks.com/images/soccer/venues/26/219226.jpg,Samara,grass,False
175,219227,227.0,75729.0,Rostov Arena,ul. Levoberezhnaya,,47.243011,39.761053,15840.0,https://cdn.sportmonks.com/images/soccer/venues/27/219227.jpg,Rostov,grass,False
176,273277,227.0,62764.0,Stadion Nizhny Novgorod,ul. Dolzhanskaya,,56.309419,43.928906,17856.0,,Nizhniy Novgorod,grass,False
177,275980,,,Ekaterinburg Arena,ul. Repina 5,,56.8322,60.5739,10000.0,,Jekaterinburg,grass,False
178,302024,227.0,42516.0,Baltika Stadium,ul. Solnechnyy bul,,54.717136,20.490439,35212.0,,Kaliningrad,grass,False
179,340091,227.0,75730.0,Rostov Arena (Rostov-na-Donu),,,47.2213858,39.7114196,45000.0,,Rostov-na-Donu,,False
180,340093,,,VTB Arena (Moskva),,,55.791389,37.559722,26319.0,,Moskva,,False
181,53,11.0,60083.0,Allianz Arena,Werner-Heisenberg-Allee 25,80939,48.218819,11.624722,75000.0,https://cdn.sportmonks.com/images/soccer/venues/21/53.png,Munich,grass,False
182,80,11.0,99532.0,Volkswagen Arena,In den Allerwiesen 1,,52.431561,10.803541,30000.0,https://cdn.sportmonks.com/images/soccer/venues/16/80.png,Wolfsburg,grass,False
183,180,11.0,58189.0,Stadion im Borussia-Park,Hennes-Weisweiler-Allee 1,,51.174722,6.385556,54057.0,https://cdn.sportmonks.com/images/soccer/venues/20/180.png,Mönchengladbach,grass,False
184,378,11.0,10292.0,Vonovia Ruhrstadion,Castropher Straße 145,,51.49,7.236667,27559.0,https://cdn.sportmonks.com/images/soccer/venues/26/378.png,Bochum,grass,False
185,420,11.0,8622.0,Stadion An der Alten Försterei,"Hämmerlingstraße 80-88, Köpenick",,52.457222,13.568056,22012.0,https://cdn.sportmonks.com/images/soccer/venues/4/420.png,Berlin,grass,False
186,1618,11.0,83747.0,PreZero Arena,Dietmar-Hopp-Straße 1,,58.584300,16.173000,17234.0,https://cdn.sportmonks.com/images/soccer/venues/18/1618.png,Sinsheim,grass,False
187,1670,11.0,36671.0,Voith-Arena,Schloßhaustraße 160,,48.668611,10.139444,15000.0,https://cdn.sportmonks.com/images/soccer/venues/6/1670.png,Heidenheim an der Brenz,grass,False
188,1945,11.0,87094.0,MHPArena,Mercedesstraße 87,70372,48.792222,9.231944,60449.0,https://cdn.sportmonks.com/images/core/venues/25/1945.png,Stuttgart,grass,False
189,1946,11.0,19547.0,RheinEnergieStadion,Aachener Straße 999 50933 Cologne,,50.933611,6.875,50000.0,https://cdn.sportmonks.com/images/soccer/venues/26/1946.png,Cologne,grass,False
190,1947,11.0,50042.0,BayArena,"Leverkusen, North Rhine-Westphalia",,51.038333,7.002222,30210.0,https://cdn.sportmonks.com/images/soccer/venues/27/1947.png,Leverkusen,grass,False
191,2063,11.0,30088.0,Europa-Park Stadion,Schwarzwaldstraße 193,,47.988949,7.892944,34700.0,https://cdn.sportmonks.com/images/soccer/venues/15/2063.png,Freiburg im Breisgau,grass,False
192,2103,11.0,53515.0,Mewa Arena,Eugen-Salomon-Straße 1,55128 Mainz,45.566547,18.657762,13005.0,https://cdn.sportmonks.com/images/core/venues/23/2103.png,Mainz,grass,False
193,2140,11.0,54823.0,Stadion am Bad Großfeld,Am Stadtbad,,51.345833,12.348056,42558.0,https://cdn.sportmonks.com/images/soccer/venues/28/2140.png,Markranstädt,grass,False
194,2165,11.0,4733.0,WWK Arena,Bürgermeister Ulrich-Straße 90,,48.323056,10.886111,30660.0,https://cdn.sportmonks.com/images/soccer/venues/21/2165.png,Augsburg,grass,False
195,2166,11.0,24229.0,Signal Iduna Park,"Strobelallee 50 44139 Dortmund, North Rhine-Westphalia",,51.4925,7.451667,81365.0,https://cdn.sportmonks.com/images/soccer/venues/22/2166.png,Dortmund,grass,False
196,2167,11.0,22242.0,Merck-Stadion am Böllenfalltor,Nieder-Ramstädter Straße 170,,49.857778,8.672222,17810.0,https://cdn.sportmonks.com/images/soccer/venues/23/2167.png,Darmstadt,grass,False
197,2169,11.0,29901.0,Commerzbank-Arena,Mörfelder Landstr. 362,,50.0686082253967,8.645482727139177,48000.0,https://cdn.sportmonks.com/images/soccer/venues/25/2169.png,Frankfurt am Main,grass,False
198,2171,11.0,49522.0,Leipzig Arena,"Am Sportforum 3 Leipzig, Saxony",,51.34575,12.348278,30188.0,https://cdn.sportmonks.com/images/soccer/venues/27/2171.png,Leipzig,grass,False
199,2172,11.0,11918.0,Weserstadion,Franz-Böhmert-Straße 1c,,53.063611,8.842861,5500.0,https://cdn.sportmonks.com/images/soccer/venues/28/2172.png,Bremen,grass,False
200,2637,11.0,49522.0,Trainingszentrum RB Leipzig Platz 1,,,51.342429,12.340448,42558.0,,Leipzig,,False
201,8118,11.0,83747.0,DnB NOR Arena,,,49.2553,8.87722,30150.0,,Sinsheim,,False
202,232157,32.0,54441.0,Campo La Quinta,,,49.238312,8.887622,30150.0,,Marbella,,False
203,339831,11.0,11918.0,Wohninvest Weserstadion,,,53.066389,8.8375,42100.0,https://cdn.sportmonks.com/images/core/venues/23/339831.png,Bremen,grass,False
204,339832,11.0,29901.0,Deutsche Bank Park,Mörfelder Landstraße 362,,50.068056,8.645806,48000.0,https://cdn.sportmonks.com/images/core/venues/24/339832.png,Frankfurt am Main,grass,False
205,86,251.0,31602.0,Stadio Comunale Luigi Ferraris,"Via Giovanni De Prà, 1",,38.234612,16.2558336,36599.0,https://cdn.sportmonks.com/images/soccer/venues/22/86.png,Genova,grass,False
206,134,251.0,60878.0,Stadio Diego Armando Maradona,"Naples, Campania, Italy",,40.827967,14.193008,60240.0,https://cdn.sportmonks.com/images/soccer/venues/6/134.png,Napoli,grass,False
